feature,mean_abs_shap
int_rate,0.3454713
term,0.33112857
inq_last_6mths,0.21076718
int_rate_tier,0.19552688
dti_bucket,0.18513733
fico_band,0.16393417
sub_grade,0.15739416
mort_acc,0.10632256
fico_score,0.09302592
pub_rec,0.08390964
emp_length,0.07230978
has_pub_rec,0.063379645
home_ownership,0.06035452
grade,0.05985082
high_util_flag,0.05202515
delinq_2yrs,0.034448996
payment_to_income,0.028050091
revol_util,0.025585013
num_bc_sats,0.02526663
loan_to_income,0.024638357
addr_state,0.023085346
zip3,0.016586903
dti,0.011349704
credit_history_yrs,0.010597059
mths_since_last_delinq,0.010419183
revol_bal,0.010020446
annual_inc,0.0097632
purpose,0.0068653054
has_bankruptcy,0.005900757
open_acc,0.005563113
pub_rec_bankruptcies,0.0052530696
installment,0.005119602
loan_amnt,0.005111592
pct_tl_nvr_dlq,0.0020453646
total_acc,0.001684901
